
---------------- LSTM模型 ----------------
使用的滞后值：20

训练的Epoch数：100

LSTM模型的学习率：0.001

LSTM模型的批次大小：32

LSTM模型的节点数：64

神经网络的滞后值：10


---------------------- LSTM模型训练数据（前100个数据点）的完整预测 -------------------------
LSTM模型均方误差（MSE）：2438.7322859278224

LSTM模型均方根误差（RMSE）：49.38352241312706

LSTM模型平均绝对误差（MAE）：37.85539941406246

----------------------------- LSTM模型的30天预测值 ----------------------------

第1天 => 实际值：3279.82 | 预测值：3304.397705078125

第2天 => 实际值：3272.01 | 预测值：3322.698486328125

第3天 => 实际值：3310.21 | 预测值：3309.910888671875

第4天 => 实际值：3386.99 | 预测值：3356.399169921875

第5天 => 实际值：3383.81 | 预测值：3436.191650390625

第6天 => 实际值：3470.66 | 预测值：3413.883544921875

第7天 => 实际值：3452.3 | 预测值：3524.395263671875

第8天 => 实际值：3470.07 | 预测值：3475.080810546875

第9天 => 实际值：3421.97 | 预测值：3508.5830078125

第10天 => 实际值：3439.28 | 预测值：3442.345458984375

第11天 => 实际值：3379.84 | 预测值：3478.79052734375

第12天 => 实际值：3330.73 | 预测值：3399.49072265625

第13天 => 实际值：3323.85 | 预测值：3360.158203125

第14天 => 实际值：3346.01 | 预测值：3360.9638671875

第15天 => 实际值：3367.99 | 预测值：3386.585205078125

第16天 => 实际值：3370.4 | 预测值：3406.572998046875

第17天 => 实际值：3267.19 | 预测值：3404.82666015625

第18天 => 实际值：3263.76 | 预测值：3287.180419921875

第19天 => 实际值：3259.76 | 预测值：3308.014892578125

第20天 => 实际值：3309.78 | 预测值：3299.205810546875

第21天 => 实际值：3295.7 | 预测值：3358.299560546875

第22天 => 实际值：3326.46 | 预测值：3329.18212890625

第23天 => 实际值：3363.98 | 预测值：3370.921142578125

第24天 => 实际值：3378.81 | 预测值：3405.456298828125

第25天 => 实际值：3364.65 | 预测值：3415.012939453125

第26天 => 实际值：3368.86 | 预测值：3396.146484375

第27天 => 实际值：3404.08 | 预测值：3405.365478515625

第28天 => 实际值：3402.53 | 预测值：3445.110595703125

第29天 => 实际值：3422.66 | 预测值：3433.974365234375

第30天 => 实际值：3432.49 | 预测值：3460.6865234375


---------------------------- ARIMA模型摘要 -------------------------
                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 8258
Model:                 ARIMA(2, 1, 1)   Log Likelihood              -42949.136
Date:                Wed, 11 Dec 2024   AIC                          85906.273
Time:                        21:01:36   BIC                          85934.348
Sample:                             0   HQIC                         85915.867
                               - 8258                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1         -0.1650      0.006    -26.230      0.000      -0.177      -0.153
ar.L2         -0.0403      0.006     -6.406      0.000      -0.053      -0.028
ma.L1         -0.8080      0.003   -237.527      0.000      -0.815      -0.801
sigma2      1929.5777      9.453    204.129      0.000    1911.051    1948.105
===================================================================================
Ljung-Box (L1) (Q):                   0.00   Jarque-Bera (JB):            126150.77
Prob(Q):                              0.98   Prob(JB):                         0.00
Heteroskedasticity (H):               2.00   Skew:                            -0.06
Prob(H) (two-sided):                  0.00   Kurtosis:                        22.15
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step).

---------------------------- ARIMA模型30天预测值 -------------------------

0 : -38.15585217077913
1 : -41.3490036669849
2 : -41.35469222011327
3 : -41.22494704167675
4 : -41.246130319301365
5 : -41.24786799859605
6 : -41.24672671959487
7 : -41.24684497770483
8 : -41.24687149802501
9 : -41.24686235086
10 : -41.246862790694834
11 : -41.24686308708709
12 : -41.24686302042923
13 : -41.246863019474276
14 : -41.246863022320746
15 : -41.246863021889496
16 : -41.24686302184585
17 : -41.246863021870446
18 : -41.246863021868144
19 : -41.24686302186753
20 : -41.246863021867725
21 : -41.24686302186772
22 : -41.24686302186771
23 : -41.24686302186771
24 : -41.24686302186771
25 : -41.24686302186771
26 : -41.24686302186771
27 : -41.24686302186771
28 : -41.24686302186771
29 : -41.24686302186771
30 : -41.24686302186771


--------------------------- 最终预测结果 ---------------------------------


第1天 => 实际值：3279.82 | 预测值：3266.2418529073457

第2天 => 实际值：3272.01 | 预测值：3281.34948266114

第3天 => 实际值：3310.21 | 预测值：3268.556196451762

第4天 => 实际值：3386.99 | 预测值：3315.174222880198

第5天 => 实际值：3383.81 | 预测值：3394.9455200713237

第6天 => 实际值：3470.66 | 预测值：3372.635676923279

第7天 => 实际值：3452.3 | 预测值：3483.14853695228

第8天 => 实际值：3470.07 | 预测值：3433.8339655691702

第9天 => 实际值：3421.97 | 预测值：3467.336136314475

第10天 => 实际值：3439.28 | 预测值：3401.098596633515

第11天 => 实际值：3379.84 | 预测值：3437.5436645530554

第12天 => 实际值：3330.73 | 预测值：3358.243859569163

第13天 => 实际值：3323.85 | 预测值：3318.9113401045706

第14天 => 实际值：3346.01 | 预测值：3319.7170041680256

第15天 => 实际值：3367.99 | 预测值：3345.3383420558043

第16天 => 实际值：3370.4 | 预测值：3365.3261350249854

第17天 => 实际值：3267.19 | 预测值：3363.579797134404

第18天 => 实际值：3263.76 | 预测值：3245.9335569000045

第19天 => 实际值：3259.76 | 预测值：3266.768029556257

第20天 => 实际值：3309.78 | 预测值：3257.9589475250073

第21天 => 实际值：3295.7 | 预测值：3317.0526975250073

第22天 => 实际值：3326.46 | 预测值：3287.9352658843823

第23天 => 实际值：3363.98 | 预测值：3329.6742795562573

第24天 => 实际值：3378.81 | 预测值：3364.2094358062573

第25天 => 实际值：3364.65 | 预测值：3373.7660764312573

第26天 => 实际值：3368.86 | 预测值：3354.8996213531323

第27天 => 实际值：3404.08 | 预测值：3364.1186154937573

第28天 => 实际值：3402.53 | 预测值：3403.8637326812573

第29天 => 实际值：3422.66 | 预测值：3392.7275022125073

第30天 => 实际值：3432.49 | 预测值：3419.4396604156323

---------------- LSTM预测值与最终预测值的差异 ----------------

第0天 => 实际值：3279.82 | LSTM预测值：3304.397705078125 | 最终预测值（LSTM + ARIMA）：3266.2418529073457

第1天 => 实际值：3272.01 | LSTM预测值：3322.698486328125 | 最终预测值（LSTM + ARIMA）：3281.34948266114

第2天 => 实际值：3310.21 | LSTM预测值：3309.910888671875 | 最终预测值（LSTM + ARIMA）：3268.556196451762

第3天 => 实际值：3386.99 | LSTM预测值：3356.399169921875 | 最终预测值（LSTM + ARIMA）：3315.174222880198

第4天 => 实际值：3383.81 | LSTM预测值：3436.191650390625 | 最终预测值（LSTM + ARIMA）：3394.9455200713237

第5天 => 实际值：3470.66 | LSTM预测值：3413.883544921875 | 最终预测值（LSTM + ARIMA）：3372.635676923279

第6天 => 实际值：3452.3 | LSTM预测值：3524.395263671875 | 最终预测值（LSTM + ARIMA）：3483.14853695228

第7天 => 实际值：3470.07 | LSTM预测值：3475.080810546875 | 最终预测值（LSTM + ARIMA）：3433.8339655691702

第8天 => 实际值：3421.97 | LSTM预测值：3508.5830078125 | 最终预测值（LSTM + ARIMA）：3467.336136314475

第9天 => 实际值：3439.28 | LSTM预测值：3442.345458984375 | 最终预测值（LSTM + ARIMA）：3401.098596633515

第10天 => 实际值：3379.84 | LSTM预测值：3478.79052734375 | 最终预测值（LSTM + ARIMA）：3437.5436645530554

第11天 => 实际值：3330.73 | LSTM预测值：3399.49072265625 | 最终预测值（LSTM + ARIMA）：3358.243859569163

第12天 => 实际值：3323.85 | LSTM预测值：3360.158203125 | 最终预测值（LSTM + ARIMA）：3318.9113401045706

第13天 => 实际值：3346.01 | LSTM预测值：3360.9638671875 | 最终预测值（LSTM + ARIMA）：3319.7170041680256

第14天 => 实际值：3367.99 | LSTM预测值：3386.585205078125 | 最终预测值（LSTM + ARIMA）：3345.3383420558043

第15天 => 实际值：3370.4 | LSTM预测值：3406.572998046875 | 最终预测值（LSTM + ARIMA）：3365.3261350249854

第16天 => 实际值：3267.19 | LSTM预测值：3404.82666015625 | 最终预测值（LSTM + ARIMA）：3363.579797134404

第17天 => 实际值：3263.76 | LSTM预测值：3287.180419921875 | 最终预测值（LSTM + ARIMA）：3245.9335569000045

第18天 => 实际值：3259.76 | LSTM预测值：3308.014892578125 | 最终预测值（LSTM + ARIMA）：3266.768029556257

第19天 => 实际值：3309.78 | LSTM预测值：3299.205810546875 | 最终预测值（LSTM + ARIMA）：3257.9589475250073

第20天 => 实际值：3295.7 | LSTM预测值：3358.299560546875 | 最终预测值（LSTM + ARIMA）：3317.0526975250073

第21天 => 实际值：3326.46 | LSTM预测值：3329.18212890625 | 最终预测值（LSTM + ARIMA）：3287.9352658843823

第22天 => 实际值：3363.98 | LSTM预测值：3370.921142578125 | 最终预测值（LSTM + ARIMA）：3329.6742795562573

第23天 => 实际值：3378.81 | LSTM预测值：3405.456298828125 | 最终预测值（LSTM + ARIMA）：3364.2094358062573

第24天 => 实际值：3364.65 | LSTM预测值：3415.012939453125 | 最终预测值（LSTM + ARIMA）：3373.7660764312573

第25天 => 实际值：3368.86 | LSTM预测值：3396.146484375 | 最终预测值（LSTM + ARIMA）：3354.8996213531323

第26天 => 实际值：3404.08 | LSTM预测值：3405.365478515625 | 最终预测值（LSTM + ARIMA）：3364.1186154937573

第27天 => 实际值：3402.53 | LSTM预测值：3445.110595703125 | 最终预测值（LSTM + ARIMA）：3403.8637326812573

第28天 => 实际值：3422.66 | LSTM预测值：3433.974365234375 | 最终预测值（LSTM + ARIMA）：3392.7275022125073

第29天 => 实际值：3432.49 | LSTM预测值：3460.6865234375 | 最终预测值（LSTM + ARIMA）：3419.4396604156323

模型训练和预测所用时间：172.83秒



---------------- 下一数据点的预测值 ------------------ 

3424.9919065093823
